iter	Passed	Remaining
478	621	676
479	623	675
480	625	674
481	626	672
482	627	671
483	628	670
484	629	668
485	630	666
486	644	678
487	648	680
488	650	679
489	651	678
490	665	689
491	666	688
492	669	688
493	671	687
494	672	685
495	673	684
496	674	682
497	676	682
498	678	681
499	680	680
500	681	678
501	683	678
502	685	676
503	686	675
504	687	674
505	688	672
506	690	671
507	692	670
508	693	668
509	694	667
510	695	665
511	697	664
512	698	663
513	701	662
514	703	662
515	704	660
516	706	660
517	708	658
518	709	657
519	711	656
520	712	655
521	714	654
522	715	652
523	716	651
524	718	650
525	719	648
526	720	647
527	722	645
528	723	644
529	725	643
530	726	641
531	728	640
532	732	641
533	733	640
534	734	638
535	735	637
536	737	635
537	738	634
538	740	633
539	742	632
540	743	630
541	744	629
542	746	628
543	747	626
544	748	625
545	750	623
546	751	621
547	752	620
548	753	618
549	754	617
550	755	615
551	756	614
552	757	612
553	758	610
554	759	609
555	760	607
556	761	605
557	762	604
558	763	602
559	764	600
560	765	599
561	766	597
562	767	595
563	768	594
564	769	592
565	770	590
566	771	589
567	772	587
568	773	585
569	774	584
570	775	582
571	776	580
572	777	579
573	778	577
574	779	575
575	779	574
576	780	572
577	781	570
578	783	569
579	785	568
580	785	566
581	786	565
582	787	563
583	789	562
584	790	560
585	791	559
586	792	557
587	793	556
588	794	554
589	795	552
590	796	551
591	797	549
592	798	547
593	799	546
594	800	544
595	801	543
596	802	541
597	802	539
598	803	538
599	806	537
600	807	536
601	809	534
602	810	533
603	811	532
604	813	530
605	815	529
606	816	528
607	818	527
608	819	526
609	820	524
610	821	522
611	822	521
612	823	519
613	823	517
614	824	516
615	825	514
616	826	513
617	827	511
618	828	509
619	829	508
620	829	506
621	830	504
622	831	503
623	832	501
624	833	500
625	834	498
626	835	497
627	836	495
628	837	493
629	838	492
630	838	490
631	840	489
632	841	487
633	842	486
634	843	485
635	844	483
636	845	481
637	846	480
638	847	478
639	848	477
640	849	475
641	850	474
642	851	472
643	852	471
644	852	469
645	853	467
646	854	466
647	855	464
648	856	463
649	857	461
650	858	460
651	859	458
652	860	457
653	861	455
654	862	454
655	863	452
656	864	451
657	865	449
658	866	448
659	867	446
660	868	445
661	869	443
662	870	442
663	871	441
664	872	439
665	873	438
666	874	436
667	875	435
668	876	433
669	877	432
670	878	430
671	879	429
672	880	427
673	880	426
674	881	424
675	882	423
676	883	421
677	884	420
678	885	418
679	886	417
680	887	415
681	888	414
682	889	412
683	889	411
684	890	409
685	891	408
686	892	406
687	893	405
688	894	403
689	895	402
690	895	400
691	896	399
692	897	397
693	898	396
694	899	394
695	900	393
696	902	392
697	903	390
698	904	389
699	905	388
700	906	386
701	907	385
702	908	383
703	909	382
704	910	380
705	911	379
706	912	378
707	912	376
708	913	375
709	915	373
710	916	372
711	917	370
712	918	369
713	918	368
714	919	366
715	920	365
716	921	363
717	922	362
718	923	360
719	924	359
720	925	358
721	926	356
722	927	355
723	928	353
724	928	352
725	930	351
726	931	349
727	931	348
728	932	346
729	933	345
730	934	343
731	935	342
732	936	341
733	937	339
734	938	338
735	939	337
736	940	335
737	941	334
738	942	332
739	943	331
740	944	330
741	945	328
742	946	327
743	947	326
744	948	324
745	949	323
746	950	321
747	953	321
748	954	319
749	955	318
750	955	316
751	957	315
752	958	314
753	960	313
754	961	311
755	962	310
756	962	309
757	963	307
758	964	306
759	965	304
760	966	303
761	967	302
762	968	300
763	969	299
764	969	297
765	970	296
766	972	295
767	973	294
768	975	292
769	976	291
770	977	290
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	281
777	983	280
778	983	279
779	984	277
780	985	276
781	986	274
782	987	273
783	988	272
784	989	270
785	990	269
786	991	268
787	992	266
788	993	265
789	994	264
790	994	262
791	995	261
792	996	260
793	997	258
794	998	257
795	999	256
796	1000	254
797	1001	253
798	1002	252
799	1003	250
800	1004	249
801	1005	248
802	1005	246
803	1006	245
804	1007	244
805	1008	242
806	1009	241
807	1010	240
808	1011	238
809	1011	237
810	1012	236
811	1013	234
812	1014	233
813	1015	232
814	1016	230
815	1017	229
816	1019	228
817	1020	227
818	1021	225
819	1022	224
820	1023	223
821	1024	221
822	1025	220
823	1026	219
824	1026	217
825	1027	216
826	1028	215
827	1029	213
828	1030	212
829	1031	211
830	1032	210
831	1033	208
832	1034	207
833	1035	206
834	1036	204
835	1037	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1044	194
843	1044	193
844	1045	191
845	1046	190
846	1048	189
847	1049	188
848	1049	186
849	1050	185
850	1051	184
851	1052	182
852	1053	181
853	1055	180
854	1056	179
855	1058	178
856	1059	176
857	1061	175
858	1063	174
859	1065	173
860	1066	172
861	1067	170
862	1069	169
863	1071	168
864	1072	167
865	1074	166
866	1075	164
867	1076	163
868	1077	162
869	1079	161
870	1080	159
871	1081	158
872	1082	157
873	1083	156
874	1085	155
875	1086	153
876	1087	152
877	1088	151
878	1089	149
879	1090	148
880	1091	147
881	1092	146
882	1094	144
883	1095	143
884	1095	142
885	1096	141
886	1097	139
887	1098	138
888	1099	137
889	1100	136
890	1101	134
891	1102	133
892	1103	132
893	1104	130
894	1105	129
895	1106	128
896	1108	127
897	1108	125
898	1110	124
899	1111	123
900	1113	122
901	1114	121
902	1115	119
903	1116	118
904	1117	117
905	1118	116
906	1119	114
907	1120	113
908	1121	112
909	1122	111
910	1123	109
911	1124	108
912	1125	107
913	1126	106
914	1127	104
915	1128	103
916	1129	102
917	1130	100
918	1131	99
919	1132	98
920	1134	97
921	1134	96
922	1136	94
923	1136	93
924	1137	92
925	1138	91
