iter	Passed	Remaining
0	144	143882
1	144	72238
2	145	48397
3	146	36450
4	147	29276
5	147	24485
6	148	21070
7	149	18510
8	149	16510
9	150	14907
10	151	13596
11	151	12503
12	152	11577
13	153	10784
14	153	10095
15	154	9492
16	154	8960
17	155	8488
18	156	8076
19	157	7697
20	157	7354
21	158	7042
22	159	6755
23	159	6492
24	160	6250
25	160	6027
26	161	5822
27	162	5630
28	162	5452
29	163	5286
30	164	5130
31	164	4984
32	165	4847
33	166	4719
34	166	4597
35	167	4483
36	167	4370
37	168	4267
38	169	4168
39	169	4075
40	170	3988
41	171	3904
42	171	3823
43	172	3746
44	173	3673
45	173	3603
46	174	3536
47	175	3472
48	175	3410
49	176	3351
50	177	3294
51	177	3239
52	178	3186
53	178	3134
54	179	3085
55	180	3037
56	180	2991
57	181	2947
58	182	2904
59	182	2864
60	183	2825
61	184	2788
62	185	2752
63	185	2714
64	186	2679
65	186	2645
66	187	2611
67	188	2579
68	188	2547
69	189	2516
70	190	2487
71	190	2461
72	191	2434
73	192	2407
74	193	2381
75	193	2354
76	194	2329
77	195	2305
78	195	2281
79	196	2258
80	197	2235
81	197	2213
82	198	2191
83	199	2170
84	199	2149
85	200	2130
86	201	2110
87	201	2091
88	202	2072
89	203	2053
90	203	2035
91	204	2017
92	205	2000
93	205	1983
94	206	1967
95	207	1950
96	207	1934
97	208	1919
98	209	1904
99	209	1887
100	210	1873
101	211	1858
102	211	1844
103	212	1830
104	213	1817
105	214	1804
106	214	1789
107	215	1776
108	215	1764
109	216	1751
110	217	1739
111	217	1727
112	218	1715
113	219	1703
114	220	1693
115	220	1682
116	221	1671
117	222	1659
118	222	1649
119	223	1638
120	224	1627
121	224	1616
122	225	1605
123	225	1593
124	226	1585
125	227	1576
126	227	1567
127	228	1557
128	229	1548
129	230	1539
130	230	1530
131	231	1522
132	232	1513
133	232	1504
134	233	1495
135	234	1487
136	234	1478
137	235	1471
138	236	1463
139	236	1455
140	237	1447
141	238	1440
142	239	1432
143	239	1424
144	240	1417
145	241	1410
146	241	1404
147	242	1396
148	243	1389
149	244	1382
150	244	1375
151	245	1367
152	245	1360
153	246	1354
154	247	1347
155	247	1340
156	248	1334
157	249	1327
158	249	1322
159	250	1315
160	251	1309
161	252	1303
162	252	1297
163	253	1292
164	254	1286
165	255	1281
166	255	1275
167	256	1270
168	257	1264
169	257	1258
170	258	1253
171	259	1248
172	259	1242
173	260	1237
174	261	1231
175	261	1226
176	262	1221
177	263	1215
178	263	1210
179	264	1205
180	265	1200
181	266	1195
182	266	1190
183	267	1185
184	268	1180
185	268	1176
186	269	1171
187	270	1166
188	270	1161
189	271	1157
190	272	1152
191	272	1148
192	273	1144
193	274	1140
194	275	1135
195	275	1131
196	276	1127
197	277	1122
198	277	1118
199	278	1113
200	279	1110
201	279	1106
202	280	1102
203	281	1098
204	283	1098
205	283	1094
206	284	1090
207	285	1086
208	285	1082
209	286	1078
210	287	1074
211	288	1070
212	288	1067
213	289	1063
214	290	1060
215	291	1056
216	291	1052
217	292	1048
218	293	1045
219	293	1041
220	294	1038
221	295	1034
222	295	1031
223	296	1027
224	297	1024
225	298	1021
226	298	1017
227	299	1014
228	300	1011
229	300	1007
230	301	1004
231	302	1000
232	302	997
233	303	993
234	304	990
235	304	987
236	305	984
237	306	981
238	306	977
239	307	974
240	308	971
241	309	968
242	309	965
243	310	962
244	311	959
245	311	956
246	312	953
247	313	949
248	313	946
249	314	943
250	315	940
251	316	938
252	316	935
253	317	932
254	318	929
255	318	926
256	319	924
257	320	921
258	320	918
259	321	915
260	322	912
261	322	909
262	323	906
263	324	904
264	325	902
265	326	899
266	326	897
267	327	894
268	328	891
269	328	889
270	329	886
271	330	883
272	330	880
273	331	878
274	332	875
275	332	873
276	333	870
277	334	868
278	335	865
279	335	863
280	336	860
281	337	858
282	338	856
283	338	854
284	339	851
285	340	849
286	340	846
287	341	844
288	342	841
289	342	839
290	343	837
291	344	834
292	344	832
293	345	830
294	346	827
295	346	825
296	347	822
297	348	820
298	349	818
299	349	815
300	350	813
301	351	811
302	351	809
303	352	807
304	353	805
305	354	803
306	354	800
307	355	798
308	356	796
309	356	794
310	357	791
311	358	789
312	358	787
313	359	785
314	360	783
315	360	781
316	361	779
317	362	776
318	362	774
319	363	772
320	364	770
321	364	768
322	365	766
323	366	764
324	367	762
325	368	761
326	369	760
327	370	758
328	371	756
329	371	754
330	372	752
331	373	750
332	373	748
333	374	746
334	375	744
335	376	743
336	376	741
337	377	739
338	378	737
339	378	735
340	379	734
341	380	732
342	381	730
343	382	728
344	382	726
345	383	725
346	384	723
347	385	721
348	385	719
349	386	718
350	387	716
351	388	714
352	388	712
353	389	710
354	390	709
355	390	707
356	391	705
357	392	703
358	393	701
359	393	700
360	394	698
361	395	696
362	396	695
363	397	693
364	397	692
365	398	689
366	399	688
367	399	686
368	400	685
369	401	683
370	402	681
371	402	680
372	403	678
373	404	677
374	405	675
375	406	673
376	406	672
377	407	670
378	408	669
379	409	667
380	409	666
381	410	664
382	411	662
383	412	661
384	413	659
385	413	658
386	414	656
387	415	655
388	416	653
389	416	651
390	417	650
391	418	648
392	418	646
393	419	645
394	420	643
395	421	642
396	421	640
397	422	639
398	423	637
399	424	636
400	424	634
401	425	632
402	426	631
403	427	629
404	427	628
405	428	627
406	429	625
407	430	624
408	430	622
409	431	620
410	432	619
411	433	618
412	433	616
413	434	615
414	435	613
415	435	611
416	436	610
417	437	609
418	438	607
419	438	606
420	439	604
421	440	603
422	441	601
423	442	600
424	442	599
425	443	597
426	444	596
427	444	594
428	445	593
429	446	591
430	446	590
431	447	588
432	448	587
433	449	585
434	449	584
435	450	583
436	451	581
437	452	580
438	452	578
439	453	577
440	454	575
441	455	574
442	455	572
443	456	571
444	457	570
445	457	568
446	458	567
447	459	566
448	460	564
449	460	563
450	461	561
451	462	560
452	462	558
453	463	557
454	464	555
455	464	554
456	465	553
457	466	552
458	467	551
459	468	549
460	469	548
461	469	547
462	470	545
463	471	544
464	471	542
465	472	541
466	473	540
467	473	538
468	474	537
469	475	536
470	476	534
471	476	533
472	477	532
473	478	530
474	478	529
475	479	527
476	480	526
477	481	525
478	481	523
479	482	522
480	483	521
481	483	519
482	484	518
483	485	517
484	486	516
485	486	515
486	487	513
